ticker,entry_date,exit_date,entry_price,exit_price,trade_return,confidence,stopped_out
AAPL,2023-05-09,2023-05-14,170.5788,167.1682,-0.019994,0.9052,False
GOOGL,2023-05-11,2023-05-16,114.454,104.5459,-0.05,0.8777,True
JPM,2023-05-13,2023-05-18,125.3995,127.7063,0.018396,0.6608,False
AMZN,2023-05-13,2023-05-18,111.15,105.66,-0.049393,0.6914,False
TSLA,2023-05-18,2023-05-23,174.22,168.54,-0.032603,0.7454,False
GOOGL,2023-05-18,2023-05-23,119.9585,110.834,-0.05,0.914,True
AMZN,2023-05-20,2023-05-25,116.77,110.26,-0.05,0.742,True
META,2023-05-25,2023-05-30,251.427,240.6019,-0.043055,0.804,False
MSFT,2023-05-26,2023-05-31,317.216,311.8315,-0.016974,0.924,False
TSLA,2023-05-27,2023-06-01,200.1,180.14,-0.05,0.9063,True
AMZN,2023-05-27,2023-06-01,122.37,116.25,-0.05,0.8096,True
AAPL,2023-05-31,2023-06-05,175.0395,171.9499,-0.017651,0.8206,False
META,2023-06-01,2023-06-06,263.8295,244.8188,-0.05,0.9049,True
MSFT,2023-06-02,2023-06-07,327.2312,307.2596,-0.05,0.8645,True
TSLA,2023-06-03,2023-06-08,217.8,184.47,-0.05,0.8897,True
AMZN,2023-06-03,2023-06-08,123.36,115.0,-0.05,0.8605,True
JPM,2023-06-08,2023-06-13,131.3767,126.7444,-0.03526,0.6875,False
TSLA,2023-06-10,2023-06-15,247.94,213.97,-0.05,0.9116,True
AAPL,2023-06-13,2023-06-18,180.4388,177.2604,-0.017615,0.8712,False
MSFT,2023-06-16,2023-06-21,343.9428,318.43,-0.05,0.8829,True
JPM,2023-06-16,2023-06-21,133.5995,131.4328,-0.016218,0.6544,False
META,2023-06-16,2023-06-21,282.5328,262.5198,-0.05,0.863,True
TSLA,2023-06-21,2023-06-26,275.13,249.83,-0.05,0.8468,True
GOOGL,2023-06-22,2023-06-27,119.0163,122.8149,0.031917,0.7659,False
AMZN,2023-06-23,2023-06-28,129.11,126.42,-0.020835,0.8122,False
META,2023-06-23,2023-06-28,279.3181,271.2217,-0.028986,0.8291,False
JPM,2023-07-01,2023-07-06,136.532,129.6769,-0.05,0.6985,True
AAPL,2023-07-01,2023-07-06,191.277,184.2687,-0.036639,0.9224,False
META,2023-07-06,2023-07-11,293.5861,284.8149,-0.029876,0.7743,False
GOOGL,2023-07-11,2023-07-16,115.3367,118.7188,0.029323,0.658,False
JPM,2023-07-12,2023-07-17,138.6545,136.9243,-0.012479,0.8887,False
META,2023-07-13,2023-07-18,311.178,292.0779,-0.05,0.9352,True
AMZN,2023-07-14,2023-07-19,134.06,128.36,-0.042518,0.7478,False
AAPL,2023-07-18,2023-07-23,190.8526,186.1738,-0.024515,0.6688,False
MSFT,2023-07-18,2023-07-23,338.568,324.862,-0.040482,0.7286,False
TSLA,2023-07-18,2023-07-23,290.15,269.61,-0.05,0.8937,True
JPM,2023-07-19,2023-07-24,143.6384,138.6263,-0.034894,0.8492,False
META,2023-07-20,2023-07-25,311.0589,306.9314,-0.013269,0.8346,False
GOOGL,2023-07-27,2023-08-01,130.5907,121.0297,-0.05,0.8254,True
META,2023-07-29,2023-08-03,321.1697,291.9688,-0.05,0.8439,True
AAPL,2023-08-01,2023-08-06,193.7052,190.2603,-0.017784,0.8128,False
MSFT,2023-08-03,2023-08-08,319.1544,330.6773,0.036105,0.7665,False
AAPL,2023-08-08,2023-08-13,177.369,193.9125,0.093272,0.6579,False
AMZN,2023-08-08,2023-08-13,140.62,133.68,-0.049353,0.7148,False
MSFT,2023-08-10,2023-08-15,319.174,320.623,0.00454,0.8183,False
TSLA,2023-08-10,2023-08-15,245.4,254.11,0.035493,0.8734,False
JPM,2023-08-17,2023-08-22,141.8799,144.6163,0.019287,0.6693,False
TSLA,2023-08-17,2023-08-22,226.06,242.19,0.071353,0.9154,False
META,2023-08-18,2023-08-23,276.8574,303.3594,0.095725,0.961,False
JPM,2023-08-24,2023-08-29,138.7015,141.2311,0.018237,0.8313,False
GOOGL,2023-08-30,2023-09-04,133.6752,128.0219,-0.042291,0.7037,False
AAPL,2023-08-31,2023-09-05,185.6641,179.022,-0.035775,0.9066,False
MSFT,2023-09-06,2023-09-11,327.0705,317.5737,-0.029036,0.8062,False
JPM,2023-09-08,2023-09-13,134.8179,139.3222,0.03341,0.6853,False
AMZN,2023-09-12,2023-09-17,142.32,138.12,-0.029511,0.9143,False
TSLA,2023-09-12,2023-09-17,270.76,245.01,-0.05,0.8601,True
META,2023-09-12,2023-09-17,303.9447,294.0723,-0.032481,0.8591,False
MSFT,2023-09-15,2023-09-20,330.5435,323.6662,-0.020806,0.8603,False
MSFT,2023-09-22,2023-09-27,315.2388,332.2898,0.054089,0.6745,False
AMZN,2023-09-22,2023-09-27,131.11,144.72,0.103806,0.8102,False
GOOGL,2023-09-22,2023-09-27,129.6881,136.968,0.056134,0.7392,False
TSLA,2023-09-28,2023-10-03,240.02,262.59,0.094034,0.767,False
MSFT,2023-09-29,2023-10-04,311.7363,313.4826,0.005602,0.8051,False
AMZN,2023-09-29,2023-10-04,128.2,129.33,0.008814,0.8366,False
JPM,2023-10-04,2023-10-09,134.6486,136.2849,0.012152,0.7928,False
META,2023-10-07,2023-10-12,310.0667,297.8724,-0.039328,0.7556,False
AAPL,2023-10-10,2023-10-15,176.0369,171.7373,-0.024425,0.7236,False
GOOGL,2023-10-12,2023-10-17,139.8938,134.1314,-0.041191,0.8495,False
TSLA,2023-10-20,2023-10-25,217.01,258.87,0.192894,0.8537,False
JPM,2023-10-24,2023-10-29,133.7476,140.0565,0.04717,0.6698,False
MSFT,2023-10-26,2023-10-31,334.095,323.8623,-0.030628,0.8712,False
META,2023-10-26,2023-10-31,292.703,314.502,0.074475,0.6851,False
TSLA,2023-10-27,2023-11-01,210.6,220.11,0.045157,0.8899,False
AAPL,2023-10-27,2023-11-01,164.9765,173.4275,0.051225,0.8035,False
GOOGL,2023-10-27,2023-11-01,121.8727,136.6208,0.121012,0.8037,False
JPM,2023-10-31,2023-11-05,130.4511,133.5676,0.023891,0.773,False
